Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2026-06-10,10,24,6,2,2026,False,Monsoon,None,False
2026-06-11,11,24,6,2,2026,False,Monsoon,None,False
2026-06-12,12,24,6,2,2026,False,Monsoon,None,False
2026-06-13,13,24,6,2,2026,True,Monsoon,None,False
2026-06-14,14,24,6,2,2026,True,Monsoon,None,False
2026-06-15,15,25,6,2,2026,False,Monsoon,None,False
2026-06-16,16,25,6,2,2026,False,Monsoon,None,False
2026-06-17,17,25,6,2,2026,False,Monsoon,None,False
2026-06-18,18,25,6,2,2026,False,Monsoon,None,False
2026-06-19,19,25,6,2,2026,False,Monsoon,None,False
2026-06-20,20,25,6,2,2026,True,Monsoon,None,False
2026-06-21,21,25,6,2,2026,True,Monsoon,None,False
2026-06-22,22,26,6,2,2026,False,Monsoon,None,False
2026-06-23,23,26,6,2,2026,False,Monsoon,None,False
2026-06-24,24,26,6,2,2026,False,Monsoon,None,False
2026-06-25,25,26,6,2,2026,False,Monsoon,None,False
2026-06-26,26,26,6,2,2026,False,Monsoon,None,False
2026-06-27,27,26,6,2,2026,True,Monsoon,None,False
2026-06-28,28,26,6,2,2026,True,Monsoon,None,False
2026-06-29,29,27,6,2,2026,False,Monsoon,None,False
2026-06-30,30,27,6,2,2026,False,Monsoon,None,False
